Date,Medio,Program,Schedule,Original Title,Duration,Ordered Qty,Insertion,Confidence,Status
2025-12-12,MEDCOM,Noticiero Matutino,6:00am-08:00am,-,35,1,0,0,missing
2025-12-12,MEDCOM,Novela Vespertina,1:00pm-05:00pm,-,10,1,0,0,missing
2025-12-12,MEDCOM,Tu Mañana,8:00am-11:30am,-,35,1,0,0,missing
2025-12-12,MEDCOM,Tu Mañana,8:00am-11:30am,-,10,1,0,0,missing
2025-12-12,TVN,Jelou,8:00am-11:30am,-,10,1,0,0,missing
2025-12-12,TVN,Noticiero Matutino,6:00am-08:00am,-,10,1,0,0,missing
2025-12-15,MEDCOM,Novela Vespertina,1:00pm-05:00pm,-,35,1,0,0,missing
2025-12-15,MEDCOM,Tu Mañana,8:00am-11:30am,-,35,1,0,0,missing
2025-12-15,MEDCOM,Tu Mañana,8:00am-11:30am,-,10,1,0,0,missing
2025-12-17,TVN,Rot. Vespertina,1:00pm-05:00pm,-,10,1,0,0,missing
2025-12-29,MEDCOM,Tu Mañana,8:00am-11:30am,-,10,1,0,0,missing
2025-12-30,MEDCOM,Tu Mañana,8:00am-11:30am,-,10,1,0,0,missing
2025-12-10,MEDCOM,Novela Estelar,8:00pm-10:30pm,-,10,3,0,0,missing
2025-12-10,TVN,Novela Estelar,8:00pm-11:00pm,-,10,3,0,0,missing
2025-12-11,MEDCOM,Noticiero Matutino,6:00am-08:00am,-,10,1,0,0,missing
2025-12-11,MEDCOM,Novela Estelar,8:00pm-10:30pm,-,10,3,0,0,missing
2025-12-11,MEDCOM,Novela Vespertina,1:00pm-05:00pm,-,10,1,0,0,missing
2025-12-11,MEDCOM,Tu Mañana,8:00am-11:30am,-,10,1,0,0,missing
2025-12-11,TVN,Noticiero Matutino,6:00am-08:00am,-,10,1,0,0,missing
2025-12-11,TVN,Novela Estelar,8:00pm-11:00pm,-,10,3,0,0,missing
2025-12-11,TVN,Rot. Vespertina,1:00pm-05:00pm,-,10,1,0,0,missing
2025-12-12,MEDCOM,Noticiero Estelar,6:00pm-08:00pm,-,35,1,0,0,missing
2025-12-12,MEDCOM,Noticiero Matutino,6:00am-08:00am,-,35,1,0,0,missing
2025-12-12,MEDCOM,Noticiero Matutino,6:00am-08:00am,-,10,1,0,0,missing
2025-12-12,MEDCOM,Novela Vespertina,1:00pm-05:00pm,-,35,1,0,0,missing
2025-12-12,MEDCOM,Novela Vespertina,1:00pm-05:00pm,-,10,1,0,0,missing
2025-12-12,MEDCOM,Tu Mañana,8:00am-11:30am,-,10,1,0,0,missing
2025-12-12,TVN,Fam. de la Tarde,1:00pm-05:00pm,-,35,1,0,0,missing
2025-12-12,TVN,Jelou,8:00am-11:30am,-,10,1,0,0,missing
2025-12-12,TVN,Noticiero Estelar,6:00pm-08:00pm,-,35,2,0,0,missing
2025-12-12,TVN,Noticiero Estelar,6:00pm-08:00pm,-,10,2,0,0,missing
2025-12-12,TVN,Noticiero Matutino,6:00am-08:00am,-,35,1,0,0,missing
2025-12-12,TVN,Noticiero Matutino,6:00am-08:00am,-,10,1,0,0,missing
2025-12-12,TVN,Rot. Vespertina,1:00pm-05:00pm,-,10,1,0,0,missing
2025-12-15,TVN,Fam. de la Tarde,1:00pm-05:00pm,-,35,1,0,0,missing
2025-12-15,TVN,Jelou,8:00am-11:30am,-,35,1,0,0,missing
2025-12-16,TVN,Rot. Vespertina,1:00pm-05:00pm,-,10,1,0,0,missing
2025-12-17,MEDCOM,Tu Mañana,8:00am-11:30am,-,10,1,0,0,missing
