Date,Medio,Program,Original Title,Duration,Ordered Qty,Insertion,Confidence
2025-12-11,"TVN","Noticiero Matutino","TVN NOTICIAS A M",35,1,1,100
2025-12-11,"TVN","Noticiero Matutino","TVN NOTICIAS A M",10,1,1,100
2025-12-12,"TVN","Noticiero Matutino","TVN NOTICIAS A M",35,1,1,100
2025-12-12,"TVN","Noticiero Matutino","TVN NOTICIAS A M",10,1,1,100
2025-12-15,"TVN","Noticiero Matutino","TVN NOTICIAS A M",35,1,4,100
2025-12-15,"TVN","Noticiero Matutino","TVN NOTICIAS A M",10,1,4,100
2025-12-17,"TVN","Noticiero Matutino","TVN NOTICIAS A M",35,1,4,100
2025-12-17,"TVN","Noticiero Matutino","TVN NOTICIAS A M",10,1,4,100
2025-12-18,"TVN","Noticiero Matutino","TVN NOTICIAS A M",35,1,5,100
2025-12-18,"TVN","Noticiero Matutino","TVN NOTICIAS A M",10,1,5,100
2025-12-19,"TVN","Noticiero Matutino","TVN NOTICIAS A M",35,1,3,100
2025-12-22,"TVN","Noticiero Matutino","TVN NOTICIAS A M",35,1,4,100
2025-12-22,"TVN","Noticiero Matutino","TVN NOTICIAS A M",10,1,4,100
2025-12-23,"TVN","Noticiero Matutino","TVN NOTICIAS A M",35,1,6,100
2025-12-23,"TVN","Noticiero Matutino","TVN NOTICIAS A M",10,1,6,100
2025-12-01,"TVN","Noticiero Matutino","TVN NOTICIAS A M",35,1,3,100
2025-12-04,"TVN","Noticiero Matutino","TVN NOTICIAS A M",10,1,6,100
2025-12-09,"TVN","Noticiero Matutino","TVN NOTICIAS A M",35,1,1,100
2025-12-15,"TVN","Noticiero Matutino","TVN NOTICIAS A M",35,1,4,100
2025-12-15,"TVN","Noticiero Matutino","TVN NOTICIAS A M",10,1,4,100
2025-12-18,"TVN","Noticiero Matutino","TVN NOTICIAS A M",35,1,5,100
2025-12-18,"TVN","Noticiero Matutino","TVN NOTICIAS A M",10,1,5,100
2025-12-22,"TVN","Noticiero Matutino","TVN NOTICIAS A M",10,1,4,100
2025-12-24,"TVN","Noticiero Matutino","TVN NOTICIAS A M",35,1,3,100
2025-12-26,"TVN","Noticiero Matutino","TVN NOTICIAS A M",10,1,4,100
2025-12-29,"TVN","Noticiero Matutino","TVN NOTICIAS A M",35,1,3,100
2025-12-30,"TVN","Noticiero Matutino","TVN NOTICIAS A M",10,1,3,100
